MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18,16,414
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,21.9,15,18.8,15,432
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30,20.4,25.7,11,411
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22.1,15,18.9,15,435
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30.2,20.5,25.8,11,413
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,11.3,14.3,20,229
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10,7,8.7,32,200
CHEVROLET,MALIBU,MID-SIZE,2,4,AS6,Z,11.5,7.9,9.9,29,228
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,8,35,184
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20,15.1,17.8,16,285
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13,22,299
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,8,35,184
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,34,191
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,8.9,6.7,7.9,36,182
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1,6.7,8,35,184
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,172
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6,6.6,8.3,34,191
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,8.9,6.7,7.9,36,182
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,9.4,7,8.3,34,191
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,8.7,7,7.9,36,182
CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,7,8.3,34,191
CHEVROLET,SONIC RS,COMPACT,1.4,4,M6,X,8.7,7,7.9,36,182
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6,6.9,41,159
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,7.6,6,6.9,41,159
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,7.1,8.4,34,193
CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.1,6.8,8.1,35,186
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10,7.8,9,31,207
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,12.9,8.1,10.7,26,246
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17,11.2,14.4,20,230
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,8,9.8,29,225
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A6,X,12,7.6,10,28,230
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,17,11.2,14.4,20,230
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10,13.4,21,308
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222
CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.1,9.5,12,24,276
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,E,19.7,13.3,16.8,17,269
DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,11.2,8,9.8,29,225
DODGE,AVENGER,MID-SIZE,2.4,4,A6,X,12,7.6,10,28,230
DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,E,17,11.2,14.4,20,230
DODGE,CHALLENGER,MID-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,10,13.1,22,301
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10,13.4,21,308
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18.3,12.6,15.7,18,251
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,12.3,7.6,10.2,28,235
DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
DODGE,DART,MID-SIZE,2,4,M6,X,9.4,6.5,8.1,35,186
DODGE,DART,MID-SIZE,2.4,4,A6,X,10.1,6.8,8.6,33,198
DODGE,DART,MID-SIZE,2.4,4,M6,X,10.5,6.7,8.8,32,202
DODGE,DART FFV,MID-SIZE,2,4,A6,X,9.9,7,8.6,33,198
DODGE,DART FFV,MID-SIZE,2,4,A6,E,14.2,9.8,12.2,23,195
DODGE,DART GT,MID-SIZE,2.4,4,A6,X,10.6,7.5,9.2,31,212
DODGE,DART GT,MID-SIZE,2.4,4,M6,X,10.2,7,8.8,32,202
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,AM6,X,8.4,5.9,7.3,39,168
DODGE,DART TURBO AERO,MID-SIZE,1.4,4,M6,X,8.5,5.8,7.3,39,168
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,10.8,14.4,20,331
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,X,13.9,9.8,12.1,23,278
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,E,17.7,13,15.6,18,250
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,271
DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,E,19.2,13.1,16.5,17,264
DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7,9.1,11.1,25,255
DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.5,9.9,12.4,23,285
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.4,12,24,276
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,E,18.9,12.9,16.2,17,259
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
FIAT,500 CABRIO,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182
FIAT,500 CABRIO,MINICOMPACT,1.4,4,M5,X,7.9,6.3,7.2,39,166
FIAT,500 CABRIO TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4,AM6,X,10,7.2,8.7,32,200
FIAT,500L TURBO,STATION WAGON - SMALL,1.4,4,M6,X,9.3,7.2,8.4,34,193
FORD,C-MAX HYBRID,FULL-SIZE,2,4,AV,X,5.6,6.4,6,47,138
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,X,17.7,14.4,16.2,17,373
FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,E,24.1,19.2,21.9,13,350
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,X,19.3,14.7,17.2,16,396
FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,E,24.9,19.6,22.5,13,360
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,X,18.6,14.6,16.8,17,386
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,E,25.5,20,23,12,368
FORD,E350 WAGON,VAN - PASSENGER,6.8,10,A5,X,23.9,17.8,21.2,13,488
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,X,20.6,15.5,18.3,15,421
FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,E,26.7,20.5,23.9,12,382
FORD,EDGE,SUV - SMALL,2,4,A6,X,11.3,7.9,9.8,29,225
FORD,EDGE,SUV - SMALL,3.5,6,AS6,X,12.6,8.7,10.8,26,248
FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,13.3,9.3,11.5,25,264
FORD,EDGE AWD,SUV - SMALL,3.7,6,AS6,X,13.7,10.4,12.2,23,281
FORD,ESCAPE,SUV - SMALL,1.6,4,AS6,X,10.4,7.4,9.1,31,209
FORD,ESCAPE,SUV - SMALL,2,4,AS6,X,10.9,8,9.6,29,221
FORD,ESCAPE,SUV - SMALL,2.5,4,AS6,X,10.9,7.5,9.4,30,216
FORD,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,X,10.5,7.9,9.3,30,214
FORD,ESCAPE AWD,SUV - SMALL,2,4,AS6,X,11.2,8.5,10,28,230
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16,18,368
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,E,24.5,18,21.6,13,346
FORD,EXPLORER,SUV - STANDARD,2,4,A6,X,11.8,8.3,10.2,28,235
FORD,EXPLORER AWD,SUV - STANDARD,3.5,6,AS6,X,14.8,10.7,13,22,299
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.7,9.7,11.9,24,274
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.3,12.9,15.9,18,254
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.3,10.3,12.5,23,288
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,E,18.9,13.9,16.7,17,267
FORD,F150,PICKUP TRUCK - STANDARD,3.5,6,A6,X,14.5,10.6,12.7,22,292
FORD,F150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.6,10.6,12.8,22,294
FORD,F150,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,18.3,12.9,15.9,18,366
FORD,F150 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,X,15.9,11.3,13.8,20,317
FORD,F150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,15.4,11,13.4,21,308
FORD,F150 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.1,14.4,17.5,16,402
FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,X,14,10.3,12.3,23,283
FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,E,18.8,13.7,16.5,17,264
FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,14,10.3,12.3,23,283
FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,18.8,13.7,16.5,17,264
FORD,F150 FFV,PICKUP TRUCK - STANDARD,5,8,A6,X,16.4,12.3,14.6,19,336
FORD,F150 FFV,PICKUP TRUCK - STANDARD,5,8,A6,E,22.1,16.7,19.7,14,315
FORD,F150 FFV,PICKUP TRUCK - STANDARD,5,8,AS6,X,16.4,12.3,14.6,19,336
FORD,F150 FFV,PICKUP TRUCK - STANDARD,5,8,AS6,E,22.1,16.7,19.7,14,315
FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,X,15,11.4,13.4,21,308
FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,E,20.2,15.3,18,16,288
FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,15,11.4,13.4,21,308
FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,20.2,15.3,18,16,288
FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,A6,X,16.8,12.6,14.9,19,343
FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,A6,E,22.4,17,20,14,320
FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,AS6,X,16.7,12.5,14.8,19,340
FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,AS6,E,22.4,16.9,19.9,14,318
FORD,F150 RAPTOR 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.4,15,18,16,414
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.5,6.5,7.6,37,175
FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.6,6.4,7.6,37,175
FORD,FIESTA SFE,SUBCOMPACT,1,4,M5,X,7.5,5.5,6.6,43,152
FORD,FIESTA SFE,SUBCOMPACT,1.6,4,AS6,X,8,5.8,7,40,161
FORD,FIESTA ST,COMPACT,1.6,4,M6,X,8.9,6.8,8,35,184
FORD,FLEX,SUV - STANDARD,3.5,6,AS6,X,13.2,9.4,11.5,25,264
FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,13.7,10.2,12.1,23,278
FORD,FLEX AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,X,14.8,10.4,12.8,22,294
FORD,FOCUS,COMPACT,2,4,M6,X,10.2,7.4,8.9,32,205
FORD,FOCUS FFV,COMPACT,2,4,A6,X,8.8,6.4,7.7,37,177
FORD,FOCUS FFV,COMPACT,2,4,A6,E,11.7,8.5,10.3,27,165
FORD,FOCUS FFV,COMPACT,2,4,AS6,X,8.9,6.4,7.8,36,179
FORD,FOCUS FFV,COMPACT,2,4,AS6,E,11.7,8.5,10.3,27,165
FORD,FOCUS FFV,COMPACT,2,4,M5,X,9.1,6.6,8,35,184
FORD,FOCUS FFV,COMPACT,2,4,M5,E,11.9,8.9,10.6,27,170
FORD,FOCUS SFE FFV,COMPACT,2,4,A6,X,8.4,5.8,7.2,39,166
FORD,FOCUS SFE FFV,COMPACT,2,4,A6,E,11.6,8.3,10.1,28,162
FORD,FUSION,MID-SIZE,1.5,4,AS6,X,10.1,6.6,8.5,33,196
FORD,FUSION,MID-SIZE,1.6,4,M6,X,9.4,6.4,8.1,35,186
FORD,FUSION,MID-SIZE,2,4,AS6,X,10.5,7.1,9,31,207
FORD,FUSION,MID-SIZE,2.5,4,AS6,X,10.5,7,8.9,32,205
FORD,FUSION (Start/Stop),MID-SIZE,1.5,4,AS6,X,9.5,6.3,8.1,35,186
FORD,FUSION AWD,MID-SIZE,2,4,AS6,X,10.9,7.5,9.4,30,216
FORD,FUSION HYBRID,MID-SIZE,2,4,AV,X,5.3,5.7,5.5,51,126
FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244
FORD,MUSTANG,SUBCOMPACT,5,8,A6,X,13.3,9.3,11.5,25,264
FORD,MUSTANG,SUBCOMPACT,5,8,M6,X,15.4,9.4,12.7,22,292
FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,3.7,6,A6,X,12.5,8.2,10.6,27,244
FORD,TAURUS,FULL-SIZE,2,4,AS6,X,10.5,7.3,9.1,31,209
FORD,TAURUS AWD,FULL-SIZE,3.5,6,AS6,X,13.7,9.4,11.8,24,271
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.1,8.1,10.3,27,237
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,17,11.1,14.3,20,229
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13,9.1,11.2,25,258
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.4,12.5,15.7,18,251
FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,10.8,8,9.5,30,218
FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.3,8.2,9.9,29,228
FORD,TRANSIT CONNECT TAXI,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,11.5,8.3,10.1,28,232
FORD,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.9,8.5,10.4,27,239
GMC,ACADIA,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
GMC,ACADIA AWD,SUV - STANDARD,3.6,6,A6,X,14.9,10.4,12.9,22,297
